Movie Name,Genre,Lead Star,Director,Music Director,Number of Screens,Revenue(INR),Budget(INR)
Golden Boys,suspense,Jeet Goswami,Ravi Varma,Baba Jagirdar,5,5000000,85000
Kaccha Limboo,drama,Karan Bhanushali,Sagar Ballary,Amardeep Nijjer,75,15000000,825000
Not A Love Story,thriller,Mahie Gill,Ram Gopal Verma,Sandeep Chowta,525,75000000,56700000
Qaidi Band,drama,Aadar Jain,Habib Faisal,Amit Trivedi,800,210000000,4500000
Chaatwali,adult,Aadil Khan,Aadil Khan,Babloo Ustad,1,1000000,1075000
Shuttlecock Boys,comedy,Aakar Kaushik,Hemant Gaba,Avinash Baghel,10,5000000,170000
Dirty Marriage,adult,Aakash,Priyanka,Dharma,2,1500000,35000
Future To Bright Hai Ji,drama,Aamir Bashir,Sanjay Amar,Amir Ali,30,15000000,825000
Ghajini,action,Aamir Khan,A.R. Murugadoss,A.R. Rehman,1550,520000000,1945820000
Taare Zameen Par,drama,Aamir Khan,Aamir Khan,Shankar - Ehsaan - Loy,500,180000000,875785000
Mangal Pandey - The Rising,drama,Aamir Khan,Ketan Mehta,A.R. Rehman,675,370000000,525785000
Fanaa,love_story,Aamir Khan,Kunal Kohli,Jatin - Lalit,650,300000000,1054800000
Dangal,drama,Aamir Khan,Nitish Tiwari,Pritam,4250,1320000000,7024750000
3 Idiots,drama,Aamir Khan,Rajkumar Hirani,Shantanu Moitra,1750,770000000,3491035000
PK,drama,Aamir Khan,Rajkumar Hirani,Ajay - Atul,3600,1220000000,6160362500
Rang De Basanti,drama,Aamir Khan,Rakesh Omprakash Mehra,A.R. Rehman,600,280000000,979080000
Talaash,thriller,Aamir Khan,Reema Kagti,Ram Sampath,2550,710000000,1729717500
Dhoom 3,action,Aamir Khan,Vijay Krishna Acharya,Pritam,3650,1750000000,5243760000
Pyaar Mein Aisa Hota Hai,thriller,Aanamika Bawa,Rajesh Kumar,Shabab Azmi,5,5500000,350000
Gurjar Aandolan - A Fight For Right,drama,Aarun Nagar,Aarun Nagar,Ashish Donald,5,6500000,575000
Yehi Hai High Society,thriller,Aaryan,Ravi Sinha,S. Paul,20,6500000,4000000
Say Yes To Love,love_story,Aasad Mirza,Mahrukh Mirza,Jatin Pandit,30,17500000,525000
Dreams - Sapnay Sach Honge...,love_story,Aashish Chanana,Aashish Chanana,Sajid - Wajid,25,12500000,1375000
Three - Love Lies Betrayal,thriller,Aashish Chaudhary,Vishal Pandya,Chirantan Bhatt,325,40000000,10000000
Malegaon Me Gadbad Ghotala,comedy,Aasif Albela,Anwar Shaikh,Sahil Patil,5,1000000,300000
Khota Sikka - Jaat Ke Thaath,comedy,Aatri Kumar,Ram Pratap Singh,Udbhav,50,9000000,600000
Hi Fi Log,adult,Abhay Bakshi,Baba Jagirdar,Baba Jagirdar,2,1500000,500000
Dev D,drama,Abhay Deol,Anurag Kashyap,Amit Trivedi,525,110000000,208200000
One By Two,rom__com,Abhay Deol,Devika Bhagat,Shankar - Ehsaan - Loy,500,210000000,37700000
Oye Lucky! Lucky Oye!,comedy,Abhay Deol,Dibakar Banerjee,Sneha Khanwalkar,400,120000000,100620000
Socha Na Tha,rom__com,Abhay Deol,Imtiaz Ali,Sandesh Shandilya,110,50000000,52800000
Happy Bhaag Jayegi,rom__com,Abhay Deol,Mudassar Aziz,Sohail Sen,1000,200000000,391500000
Manorama Six Feet Under,suspense,Abhay Deol,Navdeep Singh,Jayesh Gandhi,75,32500000,5800000
Honeymoon Travels Pvt. Ltd.,rom__com,Abhay Deol,Reema Kagti,Vishal - Shekhar,350,100000000,195160000
Ek Chalis Ki Last Local,comedy,Abhay Deol,Sanjay Khanduri,Sandesh Shandilya,140,35000000,25000000
Ahista Ahista,love_story,Abhay Deol,Shivam Nair,Himesh Reshammiya,200,40000000,23100000
Lottery,drama,Abhijeet Sawant,Hemant Prabhu,Santosh Singh,40,17500000,425000
Roar - Tigers Of The Sundarbans,thriller,Abhinav Shukla,Kamal Sadanah,John Stewart,1250,250000000,134612500
Chakradhaar,action,Abhishek Anand,Dharam Prakash,Anand Raj Anand,250,45000000,6300000
Players,action,Abhishek Bachchan,Abbas - Mustan,Pritam,1900,550000000,485600000
Game,thriller,Abhishek Bachchan,Abhinay Deo,Shankar - Ehsaan - Loy,1100,340000000,128792500
Khelein Hum Jee Jaan Sey,drama,Abhishek Bachchan,Ashutosh Gowariker,Sohail Sen,750,390000000,76653750
Drona,action,Abhishek Bachchan,Goldie Behl,Dhruv Ghanekar,750,430000000,180660000
Guru,drama,Abhishek Bachchan,Mani Ratnam,A.R. Rehman,650,220000000,836710000
Raavan,action,Abhishek Bachchan,Mani Ratnam,A.R. Rehman,1350,550000000,495722500
Delhi 6,drama,Abhishek Bachchan,Rakesh Omprakash Mehra,A.R. Rehman,1100,480000000,521750000
Bluffmaster,thriller,Abhishek Bachchan,Rohan Sippy,Vishal - Shekhar,350,100000000,327100000
Dum Maaro Dum,thriller,Abhishek Bachchan,Rohan Sippy,Pritam,1350,310000000,511940000
Bunty Aur Babli,comedy,Abhishek Bachchan,Shaad Ali,Shankar - Ehsaan - Loy,475,125000000,637405000
Jhoom Barabar Jhoom,rom__com,Abhishek Bachchan,Shaad Ali,Shankar - Ehsaan - Loy,950,270000000,485250000
Dostana,rom__com,Abhishek Bachchan,Tarun Mansukhani,Vishal - Shekhar,1000,400000000,871517500
